Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Latin America & Caribbean (IDA & IBRD),5.64669690582963,8.87928662015989,11.3104058739585,14.4445905307,16.6847773889905,20.8944023160275,23.9048360597149,26.6835339517384,31.2774536200019,34.9761650872737,39.6999637732344,43.3896547165045,46.4145808621535,48.9358794727872,54.8571419000833,57.524676380859,63.2598863874555,NA
Latvia,7.219345808,21.94,26.98,38.58,46,53.63,59.17,63.41,66.84,68.42,69.74995456,73.11994377,75.2344,75.83,79.2006,79.84209778,80.114077,83.57717486
Least developed countries: UN classification,0.14483387685298,0.236758181931423,0.356628732384674,0.556862347286656,0.788316919831144,1.11849520456798,1.92396086898448,2.10956445292439,2.68628150049411,4.12030349929693,4.74853036757212,6.01321918446634,7.48580306522207,10.712001956305,13.7001616652401,15.0609352443453,18.2496988217964,NA
Lebanon,6.783219775,7,8,9,10.14,15,18.74,22.53,30.14,43.68,52,61.24978572,70.5,73,74,76.11,78.18077489,NA
Lesotho,0.261150063,1.083943137,1.53249659,2.175524339,2.580245484,2.979708187,3.44543126,3.58,3.72,3.86,7,10,15,22,25,27.36,29,NA
Liberia,0.033812227,0.032713307,0.031868935,0.031011185,NA,NA,0.551376581,0.53,2,2.3,2.5,2.6,3.2,5.41,33,7.319106411,7.984479722,NA
Libya,0.366533175,2.244418222,2.814517987,3.532838162,3.917787977,4.301051789,4.721999379,9,10.8,14,14,NA,16.5,17.76,19.01607978,20.27215956,21.75892062,NA
Liechtenstein,45.11685265,59.47071067,58.80969184,64.00744814,63.37135615,64.21416136,65.08021844,70,75,80,85,89.4077,93.8,95.21,96.6411951,98.09390389,98.1,NA
Lithuania,7.179356994,17.69,25.91,31.23,36.22,43.9,49.9,55.22,59.76,62.12,63.6399774,67.22998933,68.4529,72.13,71.378,74.37664556,77.61525651,79.72258277
Low & middle income,2.0487392028443,3.44434765907287,4.52271634050432,5.80833147465538,6.89142007871293,8.46645632501705,11.0383826182789,13.65158368017,16.3481181564371,20.0745390688864,22.9064280774455,26.1084401648145,28.9274405214065,32.3764414844782,34.3246548909353,37.1359991005939,43.0069475714749,NA
Low income,0.137874191127925,0.292827561594798,0.456945649847752,0.674155524234526,0.952728899174596,1.29131622812054,1.79732212995057,2.45206220788099,3.1635194963402,4.2014557921291,4.67945137489939,5.65677153099469,6.9652345248294,8.55998000287138,12.1981380716426,13.0829086296095,16.4386660807803,NA
Lower middle income,0.874867745326687,1.59742323132609,2.10174830469281,2.9258240241821,3.68075366175153,4.57021035728655,5.7555329180664,6.757488391832,7.77511016500105,10.7055827686978,12.9036302427903,15.4174259604647,18.0350023594966,22.5593756781634,22.6107350740494,26.070892397598,34.7160738082777,NA
Luxembourg,36.16342251,39.84,54.55,65.88,70,72.51,78.92,82.23,87.31,90.62,90.02985856,91.94992374,93.7765,94.67,96.38,98.13669867,97.36296032,97.06129871
Madagascar,0.222511586,0.339720155,0.423252419,0.525353655,0.567721802,0.607552239,0.65,1.65,1.63,1.7,1.9,2.3,3,3.7,4.17397219,4.713662899,9.8,NA
Malawi,0.164020725,0.215094727,0.278815116,0.347505335,0.384489334,0.42513749,0.965864737,0.7,1.07,2.26,3.33,4.3506,5.05,5.83,5.3,11.47,13.78216439,NA
Malaysia,26.6959725,32.33820434,34.97115234,42.25226563,48.62917025,51.63798899,55.7,55.8,55.9,56.3,61,65.8,57.05751226,63.66542588,71.06406781,78.78830993,80.14047901,81.20170665
Maldives,3.617290649,5.347765169,5.97659285,6.588254875,6.869605067,11.03635278,16.3,23.2,24.8,26.53,34,38.9301,44.1,49.28,54.46195515,59.09258997,63.18566588,NA
