Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iceland,2.020225,2.106059,2.074324,1.973407,1.893597,1.795479,1.83181,1.635219,1.585732,1.58326,1.491028,1.490049,1.4914,1.492342,1.38606,1.450667
IDA & IBRD total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA blend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDA total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,-0.1207639,-0.0884409,-0.1573192,-0.1055001,-0.0983199,0.1219054,-0.0191939,-0.0124214,0.0259907,0.0059622,-0.1709511,-0.1715367,-0.2056473,0.0904638,0.0770048,0.0916715
Indonesia,-0.4142109,-0.4644641,-0.4153518,-0.4831279,-0.3315875,-0.2771957,-0.2372018,-0.2981317,-0.2143052,-0.2594242,-0.2729108,-0.1987486,-0.037205,-0.2405333,0.0075939,0.0407612
Iran, Islamic Rep.,-0.5403184,-0.4676722,-0.4430333,-0.6156749,-0.5267531,-0.6080332,-0.6364359,-0.5548491,-0.478802,-0.4329986,-0.5258462,-0.6768538,-0.4269208,-0.2088245,-0.1850981,-0.1909521
Iraq,-1.94748,-1.701213,-1.592726,-1.629893,-1.718666,-1.568267,-1.235706,-1.182666,-1.19709,-1.130675,-1.108618,-1.096113,-1.111157,-1.246447,-1.269764,-1.265302
Ireland,1.630157,1.559119,1.540083,1.735597,1.536329,1.560755,1.500238,1.33617,1.349588,1.455905,1.547128,1.485336,1.597105,1.533349,1.331948,1.291128
Israel,1.08279,1.20012,1.262236,1.04385,1.253453,1.237051,1.334131,1.275444,1.391521,1.342522,1.277025,1.249336,1.210812,1.388035,1.345815,1.385821
Italy,0.8018304,0.8015524,0.6471076,0.5618377,0.3647408,0.1976259,0.2796266,0.421652,0.4419097,0.3775406,0.4206704,0.4584835,0.374144,0.4481102,0.5350817,0.5024198
Jamaica,0.0198921,0.0507987,0.1687744,-0.1152491,0.2259186,0.2753228,0.2599991,0.2073482,0.2153889,0.2233723,0.0113846,0.042099,0.1374489,0.2487595,0.4165341,0.489569
Japan,1.068673,1.217828,1.36378,1.290751,1.589435,1.447718,1.460432,1.454036,1.527669,1.47267,1.415637,1.618066,1.812485,1.784812,1.822374,1.617229
Jordan,0.1065834,0.2128709,0.0609842,0.0282044,0.2025136,0.2266261,0.2286688,0.2358158,0.1036845,0.0882191,-0.0112745,-0.0489184,0.116841,0.1226117,0.1402628,0.1165232
Kazakhstan,-0.9299887,-0.6258659,-0.6541258,-0.6191217,-0.4263095,-0.5798957,-0.4615707,-0.3915207,-0.4361029,-0.4098386,-0.4402449,-0.5327777,-0.0426869,-0.0732104,-0.0641194,0.0089316
Kenya,-0.6327102,-0.6209576,-0.5918168,-0.7021186,-0.6171426,-0.499506,-0.5901043,-0.6301031,-0.5571087,-0.5665606,-0.5232506,-0.4572672,-0.333344,-0.2941417,-0.3155435,-0.3119952
Kiribati,-0.2195811,-0.7468366,-0.6121379,-0.4735642,-0.4884038,-0.6684599,-0.6963969,-0.7840247,-0.8504627,-0.776412,-0.7958969,-0.769707,-0.5606934,-0.4897618,-0.4335282,-0.2455576
Korea, Dem. People's Rep.,-1.848171,-1.800173,-1.733838,-1.721864,-1.752914,-2.08459,-2.022049,-1.77816,-1.86628,-1.871275,-1.911015,-1.901436,-1.640784,-1.632668,-1.650625,-1.69458
Korea, Rep.,0.906771,0.9240439,0.9010343,0.9906011,1.045397,1.236837,1.05099,1.094725,1.204664,1.252769,1.199333,1.125552,1.164746,1.012608,1.073846,1.082476
Kuwait,0.1073371,0.1247503,0.1039224,0.1745008,0.2872019,0.0996809,-0.0072513,0.2022372,0.1686341,0.0245808,-0.0703019,-0.0706692,-0.148399,-0.0331108,-0.1538433,-0.1665631
Kyrgyz Republic,-0.6167717,-0.5705335,-0.6829314,-0.8784107,-0.8058547,-0.7781291,-0.7883915,-0.9648597,-0.6516975,-0.6379848,-0.6494996,-0.6519046,-0.8654092,-0.9144838,-0.8981646,-0.7144402
Lao PDR,-0.9143893,-1.001565,-0.9999511,-1.208072,-0.9770249,-0.8988742,-0.8755752,-0.9469504,-0.8600214,-0.8338493,-0.8377158,-0.7300481,-0.4153115,-0.5105047,-0.3741815,-0.3587283
Late-demographic dividend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latin America & Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latin America & Caribbean (excluding high income),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latin America & Caribbean (IDA & IBRD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,0.5530607,0.6452475,0.6106073,0.5684978,0.6851262,0.4800134,0.5584953,0.6238099,0.70881,0.6981383,0.8384485,0.8890268,0.9585503,1.089666,1.005864,0.9047853
Least developed countries: UN classification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,-0.285045,-0.2101397,-0.2624758,-0.1877014,-0.256819,-0.3323657,-0.4174395,-0.4687417,-0.2792296,-0.2660723,-0.3467825,-0.3952204,-0.3755141,-0.474227,-0.5405641,-0.5134869
Lesotho,-0.0442861,-0.0888197,-0.3514833,-0.1359913,-0.4562086,-0.4258736,-0.4009566,-0.2942435,-0.3121285,-0.3092911,-0.3754399,-0.4172004,-0.5551813,-0.6843407,-0.8060191,-0.8502712
Liberia,-1.524153,-1.391365,-1.527378,-1.413871,-1.283121,-1.214605,-1.28367,-1.231153,-1.277085,-1.251019,-1.173728,-1.384766,-1.343056,-1.393891,-1.322105,-1.370018
Libya,-1.003491,-0.8828622,-0.8475044,-1.043768,-1.064657,-1.221343,-1.178037,-1.089624,-1.097219,-1.312289,-1.474232,-1.471055,-1.69147,-1.653165,-1.890451,-1.772441
Liechtenstein,1.693717,1.669755,1.722658,1.558452,1.800742,1.763524,1.795092,1.802307,1.783509,1.770325,1.789564,1.754486,1.705179,1.689332,1.706183,1.764954
Lithuania,0.5597879,0.7632465,0.7121693,0.7792079,0.7263384,0.7018702,0.6169906,0.6935584,0.7432536,0.7037992,0.833409,0.8317371,0.9826534,1.185166,1.082445,0.9781554
Low & middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Low income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,2.038897,1.920923,1.898921,1.777105,1.571362,1.592555,1.625627,1.74732,1.721774,1.748484,1.672072,1.629902,1.654433,1.724364,1.69268,1.683228
Madagascar,-0.3908238,-0.4111233,-0.4946465,-0.3535855,-0.5986828,-0.4644684,-0.6498098,-0.8023021,-0.9596365,-1.032421,-1.089096,-1.131114,-1.299322,-1.298169,-1.176938,-1.137712
Malawi,-0.7074963,-0.6868253,-0.7661783,-0.8116758,-0.8596497,-0.5369154,-0.545629,-0.4744326,-0.4106808,-0.4253919,-0.4786059,-0.4799153,-0.6281112,-0.6731606,-0.7322128,-0.6694726
Malaysia,1.021576,1.162356,1.087762,1.092823,1.267115,1.238987,1.108519,0.983706,1.120518,1.021163,0.9198642,0.9998065,1.115127,0.9491639,0.8747621,0.8380826
Maldives,0.4016014,0.106854,-0.0064425,0.2022012,0.1291752,0.0750399,-0.2293086,-0.4402517,-0.207131,-0.3059179,-0.2151606,-0.3222612,-0.3616644,-0.3757927,-0.3211116,-0.4511285
Mali,-0.5568049,-0.5700181,-0.6571354,-0.7059101,-0.7386594,-0.7510856,-0.7737022,-0.8013337,-0.8643363,-0.8222965,-0.9967953,-0.9028686,-1.099088,-0.9320242,-0.9941777,-0.9375542
Malta,1.102384,0.937748,0.7983966,0.8227611,1.025022,1.20634,1.279612,1.173995,1.192727,1.195341,1.247961,1.257873,1.028362,0.8506263,0.956104,1.004575
Marshall Islands,-1.132705,-1.04333,-0.9387149,-1.039871,-1.156603,-1.28839,-1.304649,-1.398362,-1.28125,-1.461915,-1.440415,-1.5658,-1.558409,-1.601204,-1.565974,-1.552681
Mauritania,0.0034894,0.046652,-0.4320766,-0.2922155,-0.8747498,-0.9067926,-0.9772067,-0.8949571,-0.9706828,-0.9495553,-0.9096129,-0.9986318,-0.991504,-1.026878,-0.7643325,-0.7202016
Mauritius,0.4061629,0.7171742,0.6271924,0.6086835,0.6875621,0.7470747,0.7739719,0.776171,0.8658755,0.8734261,0.9816903,0.8819206,1.043637,1.049441,0.9644549,0.8996159
Mexico,0.2705096,0.2065538,0.1228508,0.0681568,0.0914132,0.1687744,0.1873924,0.1752324,0.1624299,0.3078777,0.3426165,0.345396,0.1962345,0.2097047,0.1352486,-0.0253529
Micronesia, Fed. Sts.,-0.7711372,-0.7865792,-0.6038283,-0.0956322,-0.3004403,-0.7275328,-0.72589,-0.7092258,-0.8025244,-0.7549889,-0.6432918,-0.5710909,-0.4975008,-0.3969363,-0.3346596,0.0901108
Middle East & North Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle East & North Africa (excluding high income),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle East & North Africa (IDA & IBRD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
